http://lg.ix.net.ua
BGP router identifier 195.35.65.1, local AS number 15645
BGP table version is 93442649, main routing table version 93442649
75890 network entries using 18820720 bytes of memory
114962 path entries using 13795440 bytes of memory
46930/19800 BGP path/bestpath attribute entries using 11263200 bytes of memory
18064 BGP AS-PATH entries using 917296 bytes of memory
2 BGP ATTR_SET entries using 80 bytes of memory
1626 BGP community entries using 90054 bytes of memory
23 BGP extended community entries using 800 bytes of memory
101 BGP route-map cache entries using 6464 bytes of memory
0 BGP filter-list cache entries using 0 bytes of memory
BGP using 44893974 total bytes of memory
16408 received paths for inbound soft reconfiguration
BGP activity 10174181/10098025 prefixes, 60516035/60400689 paths, scan interval 60 secs

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
185.1.50.94     4        34265   80087 2236556 93442649    0    0 6w6d            9
185.1.50.95     4        28858  190551 2280031 93442649    0    0 6w5d           11
185.1.50.96     4        34867  186195 2513192 93442649    0    0 7w2d           51
185.1.50.97     4        43409   93948 2401964 93442649    0    0 7w2d            3
185.1.50.98     4        50401  101586  842174 93442649    0    0 2w5d            3
185.1.50.99     4        48278  857949 10825846 93442649    0    0 38w0d          25
185.1.50.100    4        59536   83351 2364610 93442649    0    0 7w2d           13
185.1.50.101    4        25385  164347 2503640 93442649    0    0 7w2d            7
185.1.50.102    4        48239   36369  998785 93442649    0    0 3w2d           15
185.1.50.103    4        42352   31196  939686 93442649    0    0 2w6d           17
185.1.50.104    4        48229  457909 10025712 93442649    0    0 38w0d           5
185.1.50.105    4        39399   31185  843255 93442649    0    0 2w5d           20
185.1.50.106    4        44600    5828   53443 93442649    0    0 1d14h          65
185.1.50.107    4        41360       0       0        1    0    0 37w5d    Idle (Admin)
185.1.50.108    4        42546  151537 2372415 93442649    0    0 6w5d            7
185.1.50.109    4        15377  919084 10900319 93442649    0    0 38w0d          39
185.1.50.110    4        48683    7358   78302 93442649    0    0 2d07h           3
185.1.50.111    4        12700   31393  508341 93442649    0    0 1w3d            6
185.1.50.112    4        42088  136700 4174928 93442649    0    0 13w4d           1
185.1.50.113    4        30779    4684   95867 93442649    0    0 3d05h           4
185.1.50.114    4        39431       0       0        1    0    0 4w5d     Idle (Admin)
185.1.50.115    4        34792  271392 7783810 93442649    0    0 27w0d           2
185.1.50.116    4        61297    4573   88584 93442649    0    0 2d19h          20
185.1.50.117    4        50499  111905 3576304 93442649    0    0 10w6d           3
185.1.50.118    4        31272  411808 2474652 93442649    0    0 6w5d           37
185.1.50.119    4        42331  156106 2372016 93442649    0    0 6w5d           24
185.1.50.120    4        41820    7274   71434 93442649    0    0 2d04h          40
185.1.50.121    4        43022       0       0        1    0    0 45w5d    Idle (Admin)
