http://as-ielo.net/lg
Sun Oct 28 18:03:04.743 UTC
RP/0/RSP0/CPU0:frpar-eqx3-a9k1#show bgp ipv4 unicast summary
Sun Oct 28 18:03:05.713 UTC
BGP router identifier 212.85.145.240, local AS number 29075
BGP generic scan interval 60 secs
Non-stop routing is enabled
BGP table state: Active
Table ID: 0xe0000000   RD version: 4294967295
BGP main routing table version 77256080
BGP NSR Initial initsync version 1680363908 (Reached)
BGP tunnel nexthop version 1
BGP scan interval 60 secs

BGP is operating in STANDALONE mode.


Process       RcvTblVer   bRIB/RIB   LabelVer  ImportVer  SendTblVer  StandbyVer
Speaker        77256080   77255677   77256080   77255677    77255677    77256079

Neighbor        Spk    AS MsgRcvd MsgSent   TblVer  InQ OutQ  Up/Down  St/PfxRcd
212.85.145.241    0 29075 674147741 483682207 77255677    0    0    1y43w     444685
212.85.145.247    0 29075 137283806 553032165 77255677    0    0     7w2d     204350
212.85.148.29     0 28774 17770869 123770433 77255621    0    0    28w0d          1
212.85.148.38     0 197455 2167536 83206357        0    0    0    30w6d Idle
212.85.148.130    0 199571 1740802 55095414 77255621    0    0    1y43w          2
212.85.148.134    0 199571 1740919 55138288 77255621    0    0    1y43w          2
212.85.148.163    0 20766  908741 98164744 77255621    0    0    1y01w          1
212.85.149.2      0 60491 1733751 116123216 77255621    0    0    29w4d          1
212.85.149.3      0 60491 1738710 116656580 77255621    0    0    27w1d          1
212.85.149.10     0 202069  463153       0        0    0    0    2y20w Idle
212.85.149.34     0 60362 11934670 120300078 77255621    0    0    30w1d          2
212.85.149.35     0 60362 1741195 115530682 77255621    0    0    1y43w          2
212.85.149.62     0 49763 2204006 117081781 77255621    0    0    6d09h          2
212.85.149.66     0 202140 1915411 115738477 77255621    0    0    1y09w          5
212.85.149.70     0 202140 1933828 105188760        0    0    0    12w3d Active
212.85.149.106    0 197922       0       0        0    0    0 00:00:00 Active
212.85.149.122    0 48504 1951973  983264 77255677    0    0    36w5d         28
212.85.149.135    0 199997       0       0        0    0    0 00:00:00 Idle
212.85.149.142    0 198184 1729175 117174448 77255621    0    0     3w2d          3
212.85.149.149    0 202069 7193995 59461856        0    0    0    1y01w Active
