http://rs2.swissix.ch/cgi-bin/bgplg
Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
91.206.52.164           49237        668    2147937     0 00:02:46 Idle
91.206.52.139           12347       3957    2096168     0 00:18:51 Idle
91.206.52.71            34288      17303      77440     0 3d15h38m      7/12000
91.206.52.61            12041      16812      77444     0 3d15h39m      0/12000
91.206.52.111          200924      15704      77468     0 3d15h39m      6/12000
2001:7f8:24::49         43531      17251      71702     0 3d15h39m     31/600
2001:7f8:24::56          2906      15751      23238     0 3d14h41m      5/600
2001:7f8:24::a8         25291      17856      71430     0 3d15h39m     65/600
91.206.52.94             1836      17263      77485     0 3d15h39m      0/12000
91.206.52.85             2906      15783      25785     0 3d15h39m      5/12000
91.206.52.86             2906      15755      28828     0 3d14h35m      5/12000
91.206.52.168           25291      17487      77405     0 3d15h39m    143/12000
2001:7f8:24::55          2906      15783      21777     0 3d15h39m      5/600
2001:7f8:24::cd         24482      17045      71748     0 3d15h39m     28/600
91.206.52.205           24482      17285      77301     0 3d15h39m    876/12000
2001:7f8:24::38         20940      17265      21700     0 3d15h39m      1/600
91.206.52.56            20940      17267      25322     0 3d15h39m     10/12000
2001:7f8:24::3c        202194      17361      71790     0 3d15h39m      3/600
91.206.52.136           43284      15710      77500     0 3d15h39m     13/12000
2001:7f8:24::9f          6507      15704      71791     0 3d15h39m      0/600
2001:7f8:24::5e          1836      17264      71799     0 3d15h40m      0/600
91.206.52.156           15716      17261      77520     0 3d15h40m      5/12000
2001:7f8:24::af         34309      17069      72040     0 3d15h40m      8/600
91.206.52.60           202194      17362      77525     0 3d15h40m      4/12000
2001:7f8:24::66         49605      18531      72007     0 3d15h40m     12/600
2001:7f8:24::9c         15716      17258      72052     0 3d15h40m      1/600
91.206.52.105           13237      18336      76713     0 3d15h40m   1142/12000
2001:7f8:24::ab          3303      17401      72053     0 3d15h40m     48/600
2001:7f8:24::ca          2686      17358      72047     0 3d15h40m      9/600
91.206.52.102           49605      18524      77473     0 3d15h40m     32/12000
2001:7f8:24::24         62035      17353      72053     0 3d15h40m      1/600
2001:7f8:24::74          8218      18828      71060     0 3d15h40m    344/600
2001:7f8:24::5          47147      17364      72054     0 3d15h40m      2/600
91.206.52.175           34309      17420      77206     0 3d15h40m    182/12000
2001:7f8:24::4a         15169      18456      21788     0 3d15h40m     27/600
91.206.52.192           13335      17192      26573     0 3d15h40m      1/12000
2001:7f8:24::8c         47692      18235      71530     0 3d15h40m     15/600
91.206.52.152            8075      17357      76781     0 3d15h40m      0/12000
2001:7f8:24::d7         44444      17356      72072     0 3d15h40m      1/600
91.206.52.171            3303      17600      77533     0 3d15h40m    535/12000
2001:7f8:24::a           1764      17478      71985     0 3d15h40m    172/600
91.206.52.116            8218      19415      76120     0 3d15h40m   2094/12000
91.206.52.36            62035      17354      77537     0 3d15h40m      1/12000
91.206.52.5             47147      17364      77536     0 3d15h40m      3/12000
2001:7f8:24::3e         42336      17359      72071     0 3d15h40m      0/600
91.206.52.74            15169      29547      18714     0 3d15h40m    161/12000
2001:7f8:24::69         13237      18643      71306     0 3d15h40m    211/600
91.206.52.203           40627      17467      77537     0 3d15h40m      8/12000
91.206.52.140           47692      18265      76936     0 3d15h40m     72/12000
91.206.52.215           44444      17356      77564     0 3d15h40m      1/12000
91.206.52.202            2686      17356      77571     0 3d15h40m     13/12000
91.206.52.10             1764      17737      76604     0 3d15h40m    777/12000
91.206.52.191           33891      17271      77528     0 3d15h40m      0/12000
91.206.52.73            43531      17372      77397     0 3d15h40m   1461/12000
91.206.52.62            42336      17362      77570     0 3d15h40m      6/12000
91.206.52.72            21040      17469      77570     0 3d15h40m      5/12000
91.206.52.196           30419      17466      76935     0 3d15h40m      2/12000
91.206.52.137            9009      15787      77581     0 3d15h40m     15/12000
2001:7f8:24::c0         13335      17192      22544     0 3d15h40m      1/600
91.206.52.153           13101      15800      77580     0 3d15h40m     41/12000
91.206.52.155           12387      15803      77507     0 3d15h40m     39/12000
91.206.52.197           51873      15784      77589     0 3d15h40m      4/12000
2001:7f8:24::6f        200924      15707      72078     0 3d15h40m      5/600
91.206.52.124           61174      15786      77603     0 3d15h40m      5/12000
91.206.52.96            31042      15982      77461     0 3d15h40m    399/12000
2001:7f8:24::79         41549      15792      72079     0 3d15h40m      4/600
2001:7f8:24::ac          8220      15839      71291     0 3d15h40m     80/600
2001:7f8:24::19         31736      15786      72081     0 3d15h40m      5/600
2001:7f8:24::7b         15517      15785      72081     0 3d15h40m      2/600
91.206.52.145           61174      15787      77619     0 3d15h40m      5/12000
2001:7f8:24::7c         61174      15784      72083     0 3d15h40m      1/600
91.206.52.22            15576      21200      81848     0 3d15h40m    175/12000
2001:7f8:24::9b         12387      15789      72083     0 3d15h40m      7/600
2001:7f8:24::90         33965      15797      72083     0 3d15h40m     15/600
91.206.52.95            15517      15785      77655     0 3d15h40m      5/12000
2001:7f8:24::16         15576      21108      75703     0 3d15h40m     46/600
2001:7f8:24::5d         16265      15790      22474     0 3d15h40m     49/600
91.206.52.93            16265      15783      26130     0 3d15h40m      0/12000
91.206.52.53              559      15839      77642     0 3d15h40m    124/12000
2001:7f8:24::61        201505      15785      72120     0 3d15h40m      1/600
91.206.52.97           201505      15785      77656     0 3d15h40m      1/12000
2001:7f8:24::7a         60486      15785      72121     0 3d15h40m      1/600
91.206.52.122           60486      15786      77656     0 3d15h40m      9/12000
2001:7f8:24::c7        198249      15784      72133     0 3d15h41m      1/600
91.206.52.34             9092      15759      77659     0 3d15h41m      1/12000
2001:7f8:24::d0          3250      15640      72135     0 3d15h41m      1/600
2001:7f8:24::22          9092      15759      72138     0 3d15h41m      1/600
2001:7f8:24::84         30786      15724      72134     0 3d15h41m      1/600
91.206.52.133           39063      15786      77661     0 3d15h41m      1/12000
91.206.52.208            3250      15640      77660     0 3d15h41m      1/12000
91.206.52.87            42909      15784      77659     0 3d15h41m      2/12000
91.206.52.42            57581      15755      77658     0 3d15h41m      2/12000
2001:7f8:24::29         60390      18044      72135     0 3d15h41m      0/600
