http://rs1.swissix.ch/cgi-bin/bgplg
Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
91.206.52.184           20984      59106     351054     0 6d07h17m      2/12000
2001:7f8:24::d3         61287      60721     375818     0 6d07h17m      4/600
2001:7f8:24::fe         25152      62547     375486     0 6d07h16m      1/600
2001:7f8:24::ac          8220      54856     373166     0 6d07h16m     80/600
2001:7f8:24::83         25581      63867     376223     0 6d07h17m      1/600
2001:7f8:24::8d         59891      62341     375481     0 6d07h16m     19/600
2001:7f8:24::7e         20612      59129     375874     0 6d07h17m      2/600
2001:7f8:24::36         34554      71260     375808     0 6d07h17m      1/600
2001:7f8:24::6c        197964      64141     375933     0 6d07h17m      2/600
2001:7f8:24::bb        197439      59124     375862     0 6d07h17m      1/600
2001:7f8:24::1c         29655      84847     375835     0 6d07h17m      6/600
2001:7f8:24::ab          3303      60276     376233     0 6d07h16m     48/600
2001:7f8:24::86        203340      60346     375838     0 6d07h17m      1/600
2001:7f8:24::5e          1836      59897     375848     0 6d07h16m      0/600
91.206.52.164           49237       2280    7302074     0 00:19:52 Idle
91.206.52.46            33845      59085     364385     0 01w5d13h      5/12000
91.206.52.194           51768      54718     364396     0 01w5d13h      1/12000
91.206.52.48            34578      59022     376749     0 01w4d01h      2/12000
2001:7f8:24::30         34578      59034     410093     0 01w4d01h      1/600
2001:7f8:24::2e         33845      59124     399027     0 01w5d13h      1/600
91.206.52.96            31042     129763     789942     0 04w1d18h    399/12000
2001:7f8:24::9c         15716     154007    1294271     0 04w4d14h      1/600
91.206.52.156           15716     154011     857952     0 04w4d14h      5/12000
91.206.52.52           206492     301472     981669     0 04w5d05h      2/12000
2001:7f8:24::34        206492     302014    1380656     0 04w5d05h      1/600
2001:7f8:24::d5         29691     160647    1332232     0 04w5d11h     23/600
91.206.52.213           29691     160499     880501     0 04w5d11h     42/12000
91.206.52.215           44444     160027     899392     0 02w4d15h      1/12000
91.206.52.42            57581     145144     886748     0 04w5d16h      2/12000
2001:7f8:24::5a         59414     145561    1353571     0 04w5d12h      5/600
91.206.52.90            59414     145561     899321     0 04w5d12h     12/12000
2001:7f8:24::94         57118     145628    1387627     0 01w3d01h      4/600
91.206.52.148           57118     145622     937243     0 01w3d01h      4/12000
91.206.52.183           29668     145528     886767     0 04w5d16h      3/12000
2001:7f8:24::d7         44444     160028    1353581     0 02w4d15h      1/600
91.206.52.68            12307     145439     975416     0 2d22h48m      2/12000
91.206.52.186           29222     157193     911722     0 01w5d16h     10/12000
2001:7f8:24::75         25091     157425    1342180     0 04w5d16h     29/600
91.206.52.117           25091     158123     886509     0 04w5d16h    115/12000
91.206.52.169          200759     970089    1667318     0 03w2d00h      4/12000
2001:7f8:24::44         12307     145439    1419978     0 2d22h48m      2/600
2001:7f8:24::ba         29222     157184    1364963     0 01w5d16h      5/600
2001:7f8:24::a9        200759     969721    2013012     0 03w2d00h      1/600
2001:7f8:24::7a         60486     170302    1581847     0 05w4d10h      1/600
91.206.52.122           60486     170368    1048033     0 05w4d10h      9/12000
2001:7f8:24::9f          6507     171050    1597192     0 05w4d19h      0/600
91.206.52.159            6507     171055    1059976     0 05w4d19h      7/12000
2001:7f8:24::76         50837     232675    2161571     0 05w5d00h      2/600
91.206.52.66            20893     268520    1676210     0 08w2d20h      1/12000
91.206.52.60           202194     319293    1751849     0 09w4d04h      4/12000
91.206.52.71            34288     318380    1751864     0 09w4d04h      7/12000
2001:7f8:24::c0         13335     316145     385177     0 01w5d13h      1/600
2001:7f8:24::69         13237     341575    2766663     0 09w4d04h    211/600
2001:7f8:24::cd         24482     315379    2791647     0 05w4d16h     28/600
91.206.52.72            21040     321264    1751983     0 09w4d04h      5/12000
91.206.52.192           13335     316054     388959     0 01w5d13h      1/12000
2001:7f8:24::74          8218     341712    2765225     0 09w4d04h    344/600
91.206.52.105           13237     334788    1741595     0 09w4d04h   1142/12000
91.206.52.116            8218     346959    1735849     0 09w4d04h   2094/12000
2001:7f8:24::49         43531     321925    2836170     0 04w1d00h     31/600
91.206.52.203           40627     321405    1752173     0 09w4d04h      8/12000
2001:7f8:24::61        201505     290299    2782932     0 09w4d04h      1/600
91.206.52.97           201505     290300    1752175     0 09w4d04h      1/12000
91.206.52.208            3250     287827    1752195     0 09w4d04h      1/12000
91.206.52.73            43531     324202    1809073     0 04w1d00h   1462/12000
91.206.52.196           30419     321328    1746340     0 09w4d04h      2/12000
2001:7f8:24::d0          3250     287827    2782935     0 09w4d04h      1/600
2001:7f8:24::c7        198249     290192    2794281     0 01w5d22h      1/600
2001:7f8:24::57         42909     290230    2850573     0 06w4d08h      2/600
2001:7f8:24::18          3856     290288    2782947     0 09w4d04h      1/600
2001:7f8:24::22          9092     289826    2782946     0 09w4d04h      1/600
91.206.52.199          198249     290825    1790486     0 01w5d22h      4/12000
91.206.52.24             3856     290288    1752246     0 09w4d04h      1/12000
91.206.52.34             9092     289831    1752246     0 09w4d04h      1/12000
91.206.52.87            42909     290230    1827170     0 06w4d08h      2/12000
91.206.52.180           64463     289012    1752246     0 09w4d04h      3/12000
2001:7f8:24::b4         64463     289012    2782948     0 09w4d04h      2/600
91.206.52.101           57118     290429    1752196     0 09w4d04h      8/12000
2001:7f8:24::65         57118     290447    2783025     0 09w4d04h      8/600
91.206.52.136           43284     288900    1752235     0 09w4d04h     13/12000
2001:7f8:24::88         43284     288861    2783200     0 09w4d04h      3/600
2001:7f8:24::29         60390     331740    2783204     0 09w4d04h      0/600
91.206.52.61            12041     309316    1789213     0 02w3d18h      0/12000
2001:7f8:24::47         34288     318386    2783205     0 09w4d04h      2/600
2001:7f8:24::56          2906     290284     369271     0 3d15h16m      5/600
2001:7f8:24::9e         41549     290356    2794045     0 04w3d15h      4/600
2001:7f8:24::3c        202194     319300    2783200     0 09w4d04h      3/600
2001:7f8:24::6d        198385     285520    2885622     0 01w5d15h      7/600
2001:7f8:24::55          2906     290281     369270     0 4d15h22m      5/600
2001:7f8:24::90         33965     290317    2783172     0 09w4d04h     15/600
91.206.52.121           41549     290435    1752235     0 09w4d04h     26/12000
2001:7f8:24::54         20932     290140    2815785     0 07w1d03h      3/600
2001:7f8:24::3d         12041     309353    2815055     0 02w3d18h    139/600
91.206.52.124           61174     290388    1752314     0 09w4d04h      5/12000
91.206.52.218          199811     331737    1752314     0 09w4d04h      4/12000
2001:7f8:24::ce          6775     330990    2839487     0 02w3d17h      0/600
91.206.52.150           34288     315515    1752316     0 09w4d04h      7/12000
2001:7f8:24::1b         31662     320440    2783203     0 09w4d04h      3/600
91.206.52.25            31736     290303    1752309     0 09w4d04h     23/12000
91.206.52.85             2906     290285     376697     0 4d15h10m      5/12000
91.206.52.27            31662     320449    1752288     0 09w4d04h     12/12000
91.206.52.144           33965     290391    1752236     0 09w4d04h     69/12000
2001:7f8:24::5b         41913     326418    2782514     0 09w4d04h      6/600
2001:7f8:24::96         34288     315515    2783207     0 09w4d04h      2/600
2001:7f8:24::14          6772     321579    2783171     0 09w4d04h      7/600
91.206.52.9             29691     322387    1751974     0 09w4d04h     42/12000
2001:7f8:24::9          29691     322590    2782945     0 09w4d04h     23/600
91.206.52.20             6772     321648    1752183     0 09w4d04h     35/12000
91.206.52.91            41913     321998    1752276     0 09w4d04h     24/12000
91.206.52.51            12553     331717    1752317     0 09w4d04h      1/12000
2001:7f8:24::91         61174     290275    2783224     0 09w4d04h      1/600
2001:7f8:24::79         41549     290405    2783231     0 09w4d04h      4/600
2001:7f8:24::19         31736     290274    2783294     0 09w4d04h      5/600
91.206.52.123           15517     290289    1752325     0 09w4d04h      5/12000
2001:7f8:24::d9         22822     321857     366246     0 09w4d04h     46/600
91.206.52.217           22822     321458     368439     0 09w4d04h    227/12000
2001:7f8:24::ae         49867     314635    2783359     0 09w4d04h      1/600
91.206.52.31            48461     290313    1752489     0 09w4d04h      5/12000
2001:7f8:24::b5          7713     294235    2827759     0 05w4d16h    183/600
91.206.52.45           198738     313572    1752531     0 09w4d04h      4/12000
91.206.52.86             2906     290288     376699     0 3d15h09m      5/12000
2001:7f8:24::7d        206616     609819    2901917     0 09w4d04h      1/600
2001:7f8:24::82         58299     330725    2826364     0 6d07h16m      4/600
2001:7f8:24::7b         15517     290291    2783417     0 09w4d04h      2/600
91.206.52.35             6776     290291    1765011     0 09w3d16h     17/12000
91.206.52.125          206616     609916    1971024     0 09w4d04h      1/12000
91.206.52.58            29075     335426    1751254     0 09w4d04h    384/12000
2001:7f8:24::33         12553     331743    2783499     0 09w4d04h      1/600
91.206.52.110           25563     321162    1765408     0 05w6d07h      4/12000
91.206.52.82            39764     313587    1752685     0 09w4d04h      1/12000
91.206.52.84            20932     290256    1764478     0 07w1d03h     19/12000
2001:7f8:24::23          6776     290296    2806050     0 03w4d04h      1/600
2001:7f8:24::9d         20984     314795    2783514     0 09w4d04h      1/600
2001:7f8:24::13         13250     313502    2783517     0 09w4d04h      1/600
2001:7f8:24::6e         25563     321155    2783518     0 09w4d04h      1/600
91.206.52.130           58299     331051    1813597     0 6d07h16m     29/12000
91.206.52.167           49489     322006    1752723     0 09w4d04h      2/12000
2001:7f8:24::3a         29075     314475    2783335     0 09w4d04h     84/600
91.206.52.37             9044     322097    1765242     0 3d16h27m     26/12000
91.206.52.149           15547     290642    1752709     0 09w4d04h     44/12000
91.206.52.81            15398     290301    1752719     0 09w4d04h      1/12000
2001:7f8:24::51         15398     290297    2783534     0 09w4d04h      1/600
91.206.52.12               42     313605    1752720     0 09w4d04h     57/12000
91.206.52.189           35054     313996    1751916     0 09w4d04h      2/12000
91.206.52.109          198385     291890    1879679     0 01w5d15h     18/12000
91.206.52.210           61287     322045    1752620     0 09w4d04h      5/12000
2001:7f8:24::a7         49489     322033    2783548     0 09w4d04h      1/600
91.206.52.13            41872     321983    1752741     0 09w4d04h     18/12000
91.206.52.75             8302     322089    1752656     0 09w4d04h      8/12000
91.206.52.23             8302     321969    1752649     0 09w4d04h      8/12000
2001:7f8:24::4b          8302     322121    2783537     0 09w4d04h      7/600
2001:7f8:24::b9         59622     433515    2783312     0 09w4d04h      9/600
2001:7f8:24::d2         61287     322067    2783529     0 09w4d04h      4/600
2001:7f8:24::3f         31662     321966    2783555     0 09w4d04h      3/600
2001:7f8:24::17          8302     322022    2783541     0 09w4d04h      7/600
91.206.52.63            31662     321981    1752715     0 09w4d04h     12/12000
91.206.52.185           59622     322013    1752751     0 09w4d04h      1/12000
91.206.52.212          204178     331636    1752745     0 09w4d04h      1/12000
91.206.52.157           20984     313599    1752741     0 09w4d04h      2/12000
91.206.52.15            15623     321367    1752618     0 09w4d04h     54/12000
2001:7f8:24::b0         25375     321961    2783559     0 09w4d04h      2/600
91.206.52.39            47176     313693    1752183     0 09w4d04h     31/12000
91.206.52.176           25375     321976    1752752     0 09w4d04h      6/12000
2001:7f8:24::da        199811     331843    2783563     0 09w4d04h      1/600
2001:7f8:24::2d        198738     313589    2783562     0 09w4d04h      1/600
2001:7f8:24::f          15623     329996    2783537     0 09w4d04h     12/600
91.206.52.30            28875     331327    1765182     0 08w3d06h      1/12000
91.206.52.205           24482     317630    1761852     0 05w4d16h    876/12000
91.206.52.214           62512     290295    1752748     0 09w4d04h      2/12000
91.206.52.19            13250     318694    1752747     0 09w4d04h      1/12000
91.206.52.145           61174     290390    1752745     0 09w4d04h      5/12000
2001:7f8:24::16         15576     387224    2807760     0 09w4d04h     46/600
2001:7f8:24::c             42     319362    2783562     0 09w4d04h     52/600
2001:7f8:24::6           8758     319248    2782927     0 09w4d04h     17/600
2001:7f8:24::95         15547     290317    2783565     0 09w4d04h      4/600
2001:7f8:24::35           559     290201    2804914     0 02w2d05h     12/600
91.206.52.6              8758     319980    1825377     0 09w4d04h     54/12000
2001:7f8:24::d6         62512     290295    2783565     0 09w4d04h      2/600
91.206.52.106          203969     324905    1752746     0 09w4d04h      2/12000
91.206.52.174           49867     313495    1752746     0 09w4d04h      2/12000
91.206.52.206            6775     330995    1815071     0 02w3d17h      2/12000
2001:7f8:24::27         47176     317364    2783537     0 09w4d04h      6/600
91.206.52.22            15576     387675    1811236     0 09w4d04h    175/12000
2001:7f8:24::1e         28875     331723    2794808     0 08w3d06h      1/600
91.206.52.181            7713     295308    1800563     0 05w4d16h   2273/12000
91.206.52.158           41549     290397    1764917     0 04w3d15h     26/12000
2001:7f8:24::7c         61174     290278    2783563     0 09w4d04h      1/600
2001:7f8:24::/64            0          0          0     0 Never    Template
2001:7f8:24::bf         33891    1240039    2794906     0 6d07h16m   1019/2500
2001:7f8:24::aa          6939    3022973     368506     0 09w4d04h  27905/35000
2001:7f8:24::8f          9002     363195    2771381     0 6d07h16m   1434/2000
91.206.52.0/23              0          0          0     0 Never    Template
91.206.52.142            3216      34236    2425775     0 03:57:52 Active
91.206.52.170            6939    1756566     377599     0 09w4d04h  56940/90000

success.
