http://rs1.swissix.ch/cgi-bin/bgplg
Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
2001:7f8:24::11         31424     113188     375457     0 6d06h43m     15/600
2001:7f8:24::38         20940      59776      77386     0 6d06h42m      1/600
2001:7f8:24::b8         20984      59224     375516     0 6d06h43m      1/600
2001:7f8:24::d8        202032      62377     386929     0 3d01h10m      1/600
2001:7f8:24::d1         29545      62443     374615     0 6d06h42m      1/600
2001:7f8:24::7f         20612      59014     375516     0 6d06h43m      2/600
2001:7f8:24::ca          2686      60110     375475     0 6d06h42m      9/600
91.206.52.134          203340      60229     349526     0 6d06h43m      1/12000
2001:7f8:24::2           8758      60692     375748     0 6d06h43m     17/600
91.206.52.254           25152      62396     362335     0 6d06h42m      1/12000
91.206.52.184           20984      58995     349525     0 6d06h43m      2/12000
2001:7f8:24::d3         61287      60607     375485     0 6d06h43m      4/600
2001:7f8:24::fe         25152      62428     375153     0 6d06h42m      1/600
2001:7f8:24::ac          8220      54753     372835     0 6d06h42m     80/600
2001:7f8:24::83         25581      63747     375890     0 6d06h43m      1/600
2001:7f8:24::8d         59891      62224     375148     0 6d06h42m     19/600
2001:7f8:24::7e         20612      59019     375541     0 6d06h43m      2/600
2001:7f8:24::36         34554      71127     375475     0 6d06h43m      1/600
2001:7f8:24::6c        197964      64020     375600     0 6d06h43m      2/600
2001:7f8:24::bb        197439      59014     375529     0 6d06h43m      1/600
2001:7f8:24::1c         29655      84693     375502     0 6d06h43m      6/600
2001:7f8:24::ab          3303      60163     375900     0 6d06h42m     48/600
2001:7f8:24::86        203340      60233     375505     0 6d06h43m      1/600
2001:7f8:24::5e          1836      59784     375515     0 6d06h42m      0/600
91.206.52.164           49237       2276    7289177     0 00:17:44 Idle
91.206.52.46            33845      58972     362856     0 01w5d13h      5/12000
91.206.52.194           51768      54615     362867     0 01w5d13h      1/12000
91.206.52.48            34578      58912     375220     0 01w4d00h      2/12000
2001:7f8:24::30         34578      58923     409760     0 01w4d00h      1/600
2001:7f8:24::2e         33845      59014     398694     0 01w5d13h      1/600
91.206.52.96            31042     129660     788413     0 04w1d17h    399/12000
2001:7f8:24::9c         15716     153895    1293938     0 04w4d13h      1/600
91.206.52.156           15716     153899     856423     0 04w4d13h      5/12000
91.206.52.52           206492     301256     980048     0 04w5d04h      2/12000
2001:7f8:24::34        206492     301798    1380233     0 04w5d04h      1/600
2001:7f8:24::d5         29691     160534    1331899     0 04w5d10h     23/600
91.206.52.213           29691     160385     878972     0 04w5d10h     42/12000
91.206.52.215           44444     159914     897863     0 02w4d14h      1/12000
91.206.52.42            57581     145042     885219     0 04w5d15h      2/12000
2001:7f8:24::5a         59414     145458    1353238     0 04w5d12h      5/600
91.206.52.90            59414     145458     897792     0 04w5d12h     12/12000
2001:7f8:24::94         57118     145525    1387294     0 01w3d00h      4/600
91.206.52.148           57118     145519     935714     0 01w3d00h      4/12000
91.206.52.183           29668     145425     885238     0 04w5d15h      3/12000
2001:7f8:24::d7         44444     159915    1353248     0 02w4d14h      1/600
91.206.52.68            12307     145337     973887     0 2d22h14m      2/12000
91.206.52.186           29222     157082     910193     0 01w5d15h     10/12000
2001:7f8:24::75         25091     157315    1341847     0 04w5d15h     29/600
91.206.52.117           25091     158014     884980     0 04w5d15h    115/12000
91.206.52.169          200759     969406    1665236     0 03w1d23h      4/12000
2001:7f8:24::44         12307     145337    1419645     0 2d22h14m      2/600
2001:7f8:24::ba         29222     157073    1364630     0 01w5d15h      5/600
2001:7f8:24::a9        200759     969038    2012114     0 03w1d23h      1/600
2001:7f8:24::7a         60486     170200    1581514     0 05w4d09h      1/600
91.206.52.122           60486     170266    1046504     0 05w4d09h      9/12000
2001:7f8:24::9f          6507     170948    1596859     0 05w4d18h      0/600
91.206.52.159            6507     170953    1058447     0 05w4d18h      7/12000
2001:7f8:24::76         50837     232559    2161238     0 05w4d23h      2/600
91.206.52.66            20893     268418    1674681     0 08w2d19h      1/12000
91.206.52.60           202194     319181    1750320     0 09w4d04h      4/12000
91.206.52.71            34288     318268    1750335     0 09w4d04h      7/12000
2001:7f8:24::c0         13335     316034     385067     0 01w5d12h      1/600
2001:7f8:24::69         13237     341458    2766332     0 09w4d04h    211/600
2001:7f8:24::cd         24482     315269    2791314     0 05w4d15h     28/600
91.206.52.72            21040     321150    1750454     0 09w4d04h      5/12000
91.206.52.192           13335     315943     388803     0 01w5d12h      1/12000
2001:7f8:24::74          8218     341590    2764896     0 09w4d04h    344/600
91.206.52.105           13237     334673    1740068     0 09w4d04h   1142/12000
91.206.52.116            8218     346839    1734322     0 09w4d04h   2094/12000
2001:7f8:24::49         43531     321813    2835837     0 04w0d23h     31/600
91.206.52.203           40627     321292    1750644     0 09w4d04h      8/12000
2001:7f8:24::61        201505     290196    2782599     0 09w4d04h      1/600
91.206.52.97           201505     290198    1750646     0 09w4d04h      1/12000
91.206.52.208            3250     287726    1750666     0 09w4d04h      1/12000
91.206.52.73            43531     324087    1807546     0 04w0d23h   1461/12000
91.206.52.196           30419     321215    1744811     0 09w4d04h      2/12000
2001:7f8:24::d0          3250     287726    2782602     0 09w4d04h      1/600
2001:7f8:24::c7        198249     290090    2793948     0 01w5d21h      1/600
