https://rs4.swissix.ch/cgi-bin/bgplg?req=&cmd=show+ip+bgp+summary&
{'req': '', 'cmd': 'show ip bgp summary'}

Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
91.206.52.74            15169     100285      80498     0 01w2d08h    176/12000
91.206.52.10             1764      77769     437914     0 6d18h02m    779/12000
91.206.52.152            8075      74687     392203     0 01w2d08h      0/12000
91.206.52.168           25291      75014     395725     0 01w2d08h    143/12000
91.206.52.5             47147      74721     396334     0 01w2d08h      3/12000
91.206.52.102           49605      79699     395790     0 01w2d08h     31/12000
91.206.52.62            42336      74699     396052     0 01w2d08h      6/12000
91.206.52.95            15517      67921     396086     0 01w2d08h      5/12000
91.206.52.126           20612      73343     396438     0 01w2d08h      4/12000
91.206.52.140           47692      78585     393499     0 01w2d08h     73/12000
91.206.52.59            12333      73363     409193     0 01w2d08h      7/12000
91.206.52.172            8220      68514     391733     0 01w2d08h    549/12000
91.206.52.104           42085      67921     396363     0 01w2d08h      1/12000
91.206.52.127           20612      73362     396102     0 01w2d08h      4/12000
91.206.52.44            16242      73374     396436     0 01w2d08h     13/12000
91.206.52.93            16265      67916      95838     0 01w2d08h      0/12000
91.206.52.99             5385      67960     393959     0 01w2d08h     29/12000
91.206.52.18             9100      78771     396393     0 01w2d08h     13/12000
91.206.52.197           51873      67921     396384     0 01w2d08h      4/12000
91.206.52.153           13101      67956     396069     0 01w2d08h     41/12000
91.206.52.175           34309      75033     394830     0 01w2d08h    180/12000
91.206.52.137            9009      67927     408928     0 01w2d08h     15/12000
91.206.52.28            29655      75370     396474     0 01w2d08h     14/12000
91.206.52.155           12387      67966     395818     0 01w2d08h     39/12000
91.206.52.113          205073      73405     396463     0 01w2d08h      4/12000
91.206.52.141           59891      77336     409234     0 01w2d08h      9/12000
91.206.52.216          202032      77582     408872     0 6d03h06m      1/12000
91.206.52.154           51262      77544     396103     0 01w2d08h      2/12000
91.206.52.57            51184      77453     396121     0 01w2d08h      9/12000
91.206.52.133           39063      67926     396477     0 01w2d08h      1/12000
91.206.52.3             13030      75316     396335     0 01w2d08h      0/12000
91.206.52.17            31424     106182     396444     0 01w2d08h     37/12000
91.206.52.2              8758      75365     396463     0 01w2d08h     54/12000
91.206.52.209           29545      77682     394091     0 01w2d08h     23/12000
91.206.52.135          198288      77603     447639     0 01w2d08h      5/12000
91.206.52.54            34554      88437     396462     0 01w2d08h      6/12000
91.206.52.38            59890      73366     394078     0 01w2d08h      5/12000
91.206.52.40            48362      73415     396470     0 01w2d08h     14/12000
91.206.52.111          200924      67591     396483     0 01w2d08h      6/12000
91.206.52.120           42760      77610     408871     0 01w2d08h      5/12000
91.206.52.179           49983     142642     464578     0 01w2d08h      4/12000
91.206.52.191           33891      74315     396025     0 01w2d08h      0/12000
91.206.52.65            51395      74206     396117     0 01w2d08h     28/12000
91.206.52.8             20634      75363     396230     0 01w2d08h     15/12000
91.206.52.36            62035      74700     396434     0 01w2d08h      1/12000
91.206.52.171            3303      75309     396185     0 01w2d08h    534/12000
91.206.52.165           48885      75372     396180     0 01w2d08h      9/12000
91.206.52.132           30786      67643     396468     0 01w2d08h      1/12000
2001:7f8:24::26         59890      73744     418667     0 01w2d08h      1/600
91.206.52.29            24951      73399     396168     0 01w2d08h     25/12000
91.206.52.94             1836      74323     396493     0 01w2d08h      0/12000
91.206.52.14             9044      75436     396165     0 01w2d08h     44/12000
91.206.52.98            59761      77571     396476     0 01w2d08h      2/12000
91.206.52.108          197964      79541     396201     0 01w2d08h      2/12000
91.206.52.202            2686      74713     396444     0 01w2d08h     13/12000
91.206.52.131           25581      79274     396518     0 01w2d08h      3/12000
91.206.52.56            20940      74323      92652     0 01w2d08h     10/12000
91.206.52.163            8453      73358     396183     0 01w2d08h      2/12000
91.206.52.211           61287      75320     396078     0 01w2d08h      5/12000
91.206.52.161          204631      77562     396404     0 01w2d08h      3/12000
2001:7f8:24::99         13101      67932     419198     0 01w2d08h      4/600
2001:7f8:24::a           1764      75567     452743     0 6d18h02m    172/600
2001:7f8:24::5d         16265      67958      97557     0 01w2d08h     49/600
2001:7f8:24::c5         51873      67937     419017     0 01w2d08h      2/600
2001:7f8:24::66         49605      79751     418870     0 01w2d08h     12/600
2001:7f8:24::8c         47692      78381     417151     0 01w2d08h     16/600
2001:7f8:24::b2         25435      67472    2572833     0 00:15:19      1/600
2001:7f8:24::6f        200924      67599     418956     0 01w2d08h      5/600
2001:7f8:24::4a         15169      79470      94513     0 01w2d08h     27/600
2001:7f8:24::63          5385      67963     418520     0 01w2d08h      5/600
2001:7f8:24::9b         12387      67948     419053     0 01w2d08h      7/600
2001:7f8:24::5f         15517      67939     419033     0 01w2d08h      2/600
2001:7f8:24::5          47147      74741     419406     0 01w2d08h      2/600
2001:7f8:24::84         30786      67658     419461     0 01w2d08h      1/600
2001:7f8:24::85         39063      67943     419440     0 01w2d08h      1/600
2001:7f8:24::3e         42336      74722     431074     0 01w2d08h      0/600
2001:7f8:24::24         62035      74718     419636     0 01w2d08h      1/600
2001:7f8:24::a8         25291      76878     417513     0 01w2d08h     65/600
2001:7f8:24::2b         35223      66448     419674     0 01w2d08h      1/600
91.206.52.187          197439      73422     396301     0 01w2d08h      1/12000
2001:7f8:24::af         34309      73501     419724     0 01w2d08h      8/600
2001:7f8:24::12          9100      74186     419783     0 01w2d08h      2/600
2001:7f8:24::78         42760      77565     430930     0 01w2d08h      1/600
2001:7f8:24::62         59761      77546     419384     0 01w2d08h      1/600
2001:7f8:24::a3          8453      74481     420160     0 01w2d08h      8/600
2001:7f8:24::3b         12333      73369     431555     0 01w2d08h      1/600
2001:7f8:24::28         48362      73397     419748     0 01w2d08h      4/600
2001:7f8:24::8          20634      75378     419748     0 01w2d08h      4/600
2001:7f8:24::41         51395      74232     420028     0 01w2d08h     43/600
2001:7f8:24::b3         49983     142740     473778     0 01w2d08h      1/600
2001:7f8:24::87        198288      77629     465060     0 01w2d08h      3/600
2001:7f8:24::39         51184      77407     419792     0 01w2d08h      5/600
2001:7f8:24::11         31424     136001     419679     0 01w2d08h     15/600
2001:7f8:24::38         20940      74330      94367     0 01w2d08h      1/600
2001:7f8:24::b8         20984      73644     419767     0 01w2d08h      1/600
2001:7f8:24::d8        202032      77582     431180     0 6d03h06m      1/600
2001:7f8:24::d1         29545      77663     418837     0 01w2d08h      1/600
2001:7f8:24::7f         20612      73395     419769     0 01w2d08h      2/600
2001:7f8:24::ca          2686      74746     419728     0 01w2d08h      9/600
91.206.52.134          203340      74903     396590     0 01w2d08h      1/12000
2001:7f8:24::2           8758      75451     419973     0 01w2d08h     17/600
91.206.52.254           25152      77585     409399     0 01w2d08h      1/12000
91.206.52.184           20984      73384     396589     0 01w2d08h      2/12000
2001:7f8:24::d3         61287      75368     419738     0 01w2d08h      4/600
2001:7f8:24::fe         25152      77643     419406     0 01w2d08h      1/600
2001:7f8:24::ac          8220      68080     416176     0 01w2d08h     80/600
2001:7f8:24::83         25581      79283     420143     0 01w2d08h      1/600
2001:7f8:24::8d         59891      77373     419401     0 01w2d08h     19/600
2001:7f8:24::7e         20612      73403     419794     0 01w2d08h      2/600
2001:7f8:24::36         34554      88450     419727     0 01w2d08h      1/600
2001:7f8:24::6c        197964      79595     419853     0 01w2d08h      2/600
2001:7f8:24::bb        197439      73403     419782     0 01w2d08h      1/600
2001:7f8:24::1c         29655     105487     419719     0 01w2d08h      5/600
2001:7f8:24::ab          3303      74806     420153     0 01w2d08h     48/600
2001:7f8:24::86        203340      74909     419758     0 01w2d08h      1/600
2001:7f8:24::5e          1836      74341     419768     0 01w2d08h      0/600
91.206.52.164           49237       9174    8227098     0 00:30:58 Idle
91.206.52.46            33845      73343     409919     0 02w1d15h      5/12000
91.206.52.194           51768      67922     409929     0 02w1d15h      1/12000
91.206.52.48            34578      73289     422283     0 02w0d02h      2/12000
2001:7f8:24::30         34578      73283     454013     0 02w0d02h      1/600
2001:7f8:24::2e         33845      73385     442947     0 02w1d15h      1/600
91.206.52.52           206492     329214    1040060     0 05w1d06h      2/12000
2001:7f8:24::34        206492     329804    1436688     0 05w1d06h      1/600
2001:7f8:24::d5         29691     175315    1376136     0 05w1d12h     23/600
91.206.52.213           29691     175142     926035     0 05w1d12h     42/12000
91.206.52.215           44444     174541     944927     0 03w0d16h      1/12000
91.206.52.42            57581     158320     932283     0 05w1d17h      2/12000
2001:7f8:24::5a         59414     158765    1397491     0 05w1d14h      5/600
91.206.52.90            59414     158765     944856     0 05w1d14h     12/12000
2001:7f8:24::94         57118     158832    1431547     0 01w6d02h      4/600
91.206.52.148           57118     158826     982778     0 01w6d02h      4/12000
91.206.52.183           29668     158732     932301     0 05w1d17h      3/12000
2001:7f8:24::d7         44444     174542    1397501     0 03w0d16h      1/600
91.206.52.68            12307     158643    1020951     0 6d00h10m      2/12000
91.206.52.186           29222     171447     957256     0 02w1d17h     10/12000
2001:7f8:24::75         25091     171680    1386096     0 05w1d17h     29/600
91.206.52.117           25091     172384     932027     0 05w1d17h    113/12000
91.206.52.169          200759    1058078    1788165     0 03w5d01h      4/12000
2001:7f8:24::44         12307     158643    1463898     0 6d00h10m      2/600
2001:7f8:24::ba         29222     171449    1408883     0 02w1d17h      5/600
2001:7f8:24::a9        200759    1057710    2130946     0 03w5d01h      1/600
91.206.52.60           202194     333814    1797384     0 10w0d06h      4/12000
91.206.52.71            34288     332858    1797395     0 10w0d06h      7/12000
2001:7f8:24::61        201505     303503    2826852     0 10w0d06h      1/600
91.206.52.97           201505     303504    1797710     0 10w0d06h      1/12000
2001:7f8:24::c7        198249     303395    2838201     0 02w1d23h      1/600
2001:7f8:24::18          3856     303492    2826867     0 10w0d06h      1/600
91.206.52.199          198249     304028    1836020     0 02w1d23h      4/12000
91.206.52.24             3856     303492    1797781     0 10w0d06h      1/12000
91.206.52.180           64463     302213    1797781     0 10w0d06h      3/12000
