#lg	asn	description
http://lg.telefonet.ru	29053	Telenet
http://lg.noc.speedxs.net	30925	 CBizz B.V. 
https://noc.plus.ru/hlgcom	28870	Plusinfo
http://lg.mnet.bg	21230	MNET
http://lg.escapenet.ch/	50152	 Escapenet GmbH 
http://lg.cohaesio.net	 9120  	 Cohaesio A/S  
http://as23265.net/mrlg.php	23265	 Pocketinet Communications, Inc. 
http://tie.telx.com/lg.pl	32299	 Telx Route Servers 
http://plg.netcologne.de/lg/  	 8422  	 NetCologne  
http://service.dic.at/cgi-bin/lg.cgi	24992	 DIC-Online  
https://lg.azuria.net	28877	Azuria
http://lg.as5577.net	5577	 root S.A. 
http://whois.ipinc.net/cgi-bin/lg.pl	10248	 Internet Partners, Inc.  
http://www.n-ix.net/lg.html  	 21083  	 N-IX  
http://lg.atrila.net	44919	Atrila-GmbH
http://eng.5ninesdata.com/lg/	16842	 5Nines Data, LLC. 
http://lg.sib.mts.ru	28884	N/A
http://www.as8304.eu/lg	8304	ECRITEL
http://lg.neoinx.net	37105	Neology
http://lg.as25178.net	25178	 Keycom PLC 
http://lg.call27.net	199032	 Call27 Limited 
http://lg.ststelecom.com/lg	29877	 STS Telecom 
http://lg.oyster.su/	31323	 Oyster Telecom 
http://lg.sapphire.gi	34803	 Sapphire Networks Broadband Gibraltar Ltd 
http://noc.oyster-telecom.ru/lg	31323	oyster-telecom
http://lg.roilcom.ru	16094	ROILCOM
http://lg.inweb.co.uk	 8851  	 Edge Telecom  
http://www.we-dare.net/lookingglass.php	20495	 We Dare 
http://noc.exobitnetworks.com/lg/lg.cgi 	30653	ExobitNetworks
http://www.ncc.itgate.net/lg	12779	 IT.Gate S.p.A. 
http://lg.cerberus.net.uk/lg	51918	 Cerberus Networks Ltd 
http://w-ix.com/index.php?pageid=9	50384	 W-IX LTD 
https://noc.del.bg/tools/lg.php	12814	 Davidov Net  
http://noc.iu.nl/lg	35260	 Internet Unie Services B.V. 
http://noc.widexs.nl/lg	12573	WideXS
http://lg.gin.ru	2854	OrangeBusinessServicesRussia
http://lg.powernet.bg	8877	PowerNet
http://lg.yellowfiber.net/	40015	 Yellow Fiber Networks 
http://noc.skylink.msk.ru	12958	MCCinet(Skylink)
http://lg.euronet.nl	 5390  	 EuroNet  
http://www.uhro.net/lg/	3265	 XS4ALL  
http://lg.gts.pl/lglass/mrlg.php	8246	 GTS Poland 
http://lg.evolink.net	8262	 EVOLINK AD 
http://www.nat.bg/look/	8262	 Lirex BG Ltd  
http://noc.luna.nl/lg/lg.cgi  	 12902  	 Luna.nl  
https://tools.as24220.net/lg	24220	Hostcentral
http://www.rnp.br/servicos/lg/  	 1916  	 RNP  
https://spnet.net/admin/lookingglass.phtml  	 8717  	 SpectrumNet (Sofia, Bulgaria)  
http://lg.top-ix.org	25309	 TOP-IX Consortium 
https://monitoring.ad-sy.ch/cgi-bin/lg.cgi	15716	 Adfinis SyGroup AG 
http://lg.as16215.net	 16215  	 Genotec Internet Consulting AG  
http://noc.isp-services.nl/lg	24875	 ISP Services 
http://lglass.gcn.bg/lg.cgi	12615	 Global Communication Net AD 
http://lg.cern.ch	 513  	 CERN  
http://lg.bix.bg/	15669	 Bulgarian Internet Exchange  
http://noc.wsisiz.edu.pl/lg	20555	WSISiZ
http://lg.nedzone.nl/lg/	25459	 NedZone Internet BV 
http://lg.heagmedianet.de	12897	HEAGMediaNet
http://lg.ramtel.ru	24638	Rambler
http://lg.globalcom.lv	42979	 Globalcom Ltd. 
http://noc.interscholz.net/lg/  	 33843  	 interscholz Internet Services  
http://lg.cablenet-as.net/	35432	 Cablenet Communication Systems Ltd. 
http://www.ispnetinc.net/cgi-lgpublic/lgform.cgi	22691	 ISPnet, Inc. 
http://www.init7.net/en/backbone/looking-glass	 13030  	 Init Seven AG  
http://lg.de-cix.net	 6695  	 DE-CIX  
http://lg.anders.ru	39792	 Anders Telecom 
http://noc.reasonnet.com/lg	25525	 Reasonnet IP Networks 
