#lg	asn	description
http://nms1.prago.net/public-cgi-bin/lg/lg.cgi	21142	PragoNet
http://debby.sunrise.ch/lg	6730	SunriseCommunicationsAG
http://www.six.sk/lg.html	2607	SIX - Slovak Internet eXchange
http://lg.version6.net	3327	Linxtelecom
http://bgp.stech.net.br/lg	25933	SouthTech Telecom
http://www.as50763.net/lg/	50763	MCKAYCOM LTD
http://www.iptp.net/tools/lg/lg.cgi	41095	IPTriplePlay
http://lg.ntrnet.it/lg	47358	NTRNET srl
http://lg.mironet.ch/lg	49983	MiroNet GmbH
http://www.ccn.net/lg	29488	ccn corporate communication networks GmbH
http://lg.itsbrasil.net	28186	ITS TELECOM
https://lg.uli.it	9026	Utility Line Italia
http://as-ielo.net/lg	29075	IELO
http://lg.riss.ro/cgi-bin/lg.cgi	34043	SC Advanced Business Solution International SRL
http://lg.gldn.net	3216	GoldenTelecomIPNetwork
http://lg.corbina.net	8402	Corbina Telecom
http://lg.peterstar.net/lg	20632	netepctap peterstar
http://lg.eastlink.ca	11260	Eastlink
http://lg.ja.net	786	JANET(UK)
