8767,201554
6854,44711
34772,61332
3267,29195
31449,34659
6700,49717
9121,37566
1273,8283
786,31672
6767,44733
35625,51405
2306,201364
1299,28931
6665,12874
47622,206471
29066,41637
8681,30844
44217,49544
8359,196812
8954,20953
8683,20799
6539,6830
205593,207149
5466,207127
8312,44788
60271,136620
8447,44594
3257,49425
5390,20932
16276,44902
49699,57344
29670,34419
2119,38158
12348,13101
49063,59452
3356,16735
12322,43646
8455,30132
31721,196925
1836,21155
6830,42496
9116,25888
199995,203044
786,48526
8195,25223
2116,35706
9002,29550
8608,34106
198594,199057
5631,8272
60023,60501
2603,8468
8912,25310
12874,31611
24748,39661
4230,28654
16097,47297
5413,31727
56449,57998
48850,51426
24940,203969
8631,42498
4657,6461
21356,29219
35320,201039
8560,206313
8220,48868
3356,11805
31005,31027
6880,8732
31133,51547
35088,44889
3291,28956
31236,43571
42184,58243
8551,13150
9051,12812
38930,60679
5386,9110
205513,205957
9158,15516
12399,12713
15965,56665
3249,9002
39832,205016
203358,204381
31449,58952
16082,48526
224,8896
6886,196767
8286,8501
8912,21396
174,40735
1257,36619
21221,30890
3267,43693
9049,44688
702,50589
680,8767
17088,35662
8607,42217
2529,34305
38930,196752
8530,200981
29031,48276
8591,25467
8943,51561
3742,4544
29608,39072
8359,41445
34573,49414
12578,43956
29169,34021
2119,13005
2497,7664
57332,60276
200560,205637
6717,36944
6805,29396
31210,56404
8524,15475
8359,57510
15645,38931
12593,59617
30857,35753
15925,19151
29467,39886
8565,29215
48051,49403
28890,61084
48096,58041
48625,56534
714,31742
200342,201510
8362,31167
8712,8997
29686,49605
3352,25412
12389,51525
2854,34185
31142,34549
15412,34968
28716,42180
28877,34863
5430,29404
2818,20495
4230,28640
3308,201271
20718,30972
42,39591
174,33854
3216,48122
8569,23985
6939,39560
6730,15426
1299,264677
34085,41704
5410,198435
5617,203985
8923,25527
20483,42861
5605,36408
19151,42456
8932,49800
49287,200590
8218,50954
8391,29140
2603,42695
1299,34309
8359,34305
25459,41420
6805,13445
9134,48205
56595,58246
48642,196888
24642,30740
12874,21345
8859,8881
39595,57872
20850,45045
3216,50673
174,4474
8001,13285
30733,42787
34984,50264
3216,34597
39792,51230
31449,39915
12859,39792
9002,34259
13722,57382
6830,34245
197686,200590
5568,25535
25091,202569
42258,43890
1836,8359
29226,200725
4181,23342
1883,8674
29610,30890
6799,197587
21201,34087
5495,50952
553,9145
58070,60145
3320,25068
50607,200431
15844,31572
6461,35064
13335,196753
1200,2529
6805,16347
21232,48362
3352,198584
37149,37349
201205,201205
13285,44611
4589,9104
1239,31761
51074,58125
47914,56931
12621,25462
702,8613
25396,29676
29113,197411
29632,203638
34248,34323
6453,37282
15557,39886
2818,42525
29834,59507
2116,198869
8455,9002
286,25038
31133,41925
5089,20953
29086,39791
4181,59865
34867,41692
9012,12539
2586,61189
30781,39600
43073,62081
3257,49401
6695,34863
12552,24751
30733,47827
9002,63928
29075,35028
174,28409
25151,56665
50146,58620
43789,206698
16097,25560
6762,8002
6805,20621
57991,203142
6083,9044
6453,39386
8220,34893
29140,39912
5603,196837
3313,12944
13160,20836
3261,45025
8220,38082
15744,20540
224,59863
24745,50604
6775,12348
3356,19308
51622,202103
8926,64453
1299,20514
6730,31529
5507,44302
2119,20811
8068,8851
20718,30844
9153,20547
5089,5612
9121,15924
3549,16150
24594,29208
1126,39637
3254,24999
22873,27941
6735,19151
8856,42095
702,51439
199599,202880
48286,49666
44122,44600
286,49823
9304,9929
3352,13195
5418,47207
6731,197193
35320,41665
34779,47903
41842,51343
1299,24637
200270,202388
13238,39143
6854,8752
24115,25091
25178,28929
1221,9505
6751,12611
25542,39637
30838,31242
25446,50928
3292,16086
9176,20671
8492,20860
5504,196984
26415,49638
9201,46489
2854,20764
43338,48536
20632,44840
5617,34789
199733,203446
12384,12782
43583,43975
13335,48526
24963,31400
8881,44180
2856,47474
29571,37531
3261,57982
1836,21222
3356,11251
13301,43561
12389,34389
3320,48200
5645,35974
60717,61300
