http://lg.mohonmaaf.com

nice>term len 0
nice>show ip bgp summary 
BGP router identifier 218.100.27.129, local AS number 7717
BGP table version is 33061737, main routing table version 33061737
14055 network entries using 1714710 bytes of memory
16381 path entries using 851812 bytes of memory
224179/1439 BGP path/bestpath attribute entries using 17037604 bytes of memory
79866 BGP AS-PATH entries using 2868788 bytes of memory
1461 BGP community entries using 74638 bytes of memory
63 BGP extended community entries using 1890 bytes of memory
0 BGP route-map cache entries using 0 bytes of memory
0 BGP filter-list cache entries using 0 bytes of memory
BGP using 22549442 total bytes of memory
Dampening enabled. 0 history paths, 0 dampened paths
2238 received paths for inbound soft reconfiguration
BGP activity 24837946/24823891 prefixes, 39428023/39411642 paths, scan interval 60 secs

Neighbor        V    AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
218.100.27.191  4 24207   57581  117693 33061737    0    0 5w4d           89
218.100.27.193  4 24212   92787  154765 33061737    0    0 8w0d           16
218.100.27.198  4  9785   29355   62940 33061737    0    0 2w6d           88
218.100.27.200  4 23679  274988  464680 33061737    0    0 27w1d          27
218.100.27.201  4 23952  246933  290895 33061737    0    0 15w5d           9
218.100.27.207  4 23949  321097  472270 33061737    0    0 27w6d          37
218.100.27.208  4  4855       0       0        0    0    0 15w5d    Idle
218.100.27.210  4 24538   24682   42131 33061737    0    0 2w1d           17
218.100.27.211  4 55661   56717  103770 33061737    0    0 4w6d            2
218.100.27.213  4 18379  280987  472270 33061737    0    0 27w6d          41
218.100.27.218  4 23951   36506   69730 33061737    0    0 3w1d            0
218.100.27.219  4  4382   15539   26149 33061737    0    0 1w2d           16
218.100.27.220  4 63516   35856   67925 33061737    0    0 3w0d           16
218.100.27.221  4  9794   55975  114304 33061737    0    0 5w4d           44
218.100.27.223  4 45289       0       0        0    0    0 40w6d    Idle
218.100.27.224  4 24197       0       0        0    0    0 25w2d    Idle
218.100.27.225  4 38147  252530  389184 33061737    0    0 21w6d           1
218.100.27.226  4 55667   73812  142183 33061737    0    0 7w2d           10
218.100.27.227  4 24201   50284   98552 33061737    0    0 4w2d           80
218.100.27.232  4 24522  280945  472270 33061737    0    0 27w6d          17
218.100.27.233  4 24200   83404  146056 33061737    0    0 7w1d            8
218.100.27.234  4 42909   89012  167676 33061737    0    0 8w5d            2
218.100.27.236  4 24525    1511    3649 33061737    0    0 22:03:19       13
218.100.27.237  4 24530   73520  125951 33061737    0    0 6w2d           29
218.100.27.241  4 24527  280981  474934 33061737    0    0 27w6d          16
218.100.27.244  4 18052    7108   13483 33061737    0    0 4d23h           1
218.100.27.246  4 24528   15548   26149 33061737    0    0 1w2d            0
218.100.27.247  4 38211  280979  472270 33061737    0    0 27w6d          46
218.100.27.249  4 45729   86453  144341 33061737    0    0 7w3d            3
218.100.27.251  4 46042  557831  473271 33061737    0    0 27w6d           3
218.100.27.253  4 38148   26083   44881 33061737    0    0 2w1d           11
nice>
nice>
