https://support.linx.net/cgi-bin/rs/members/rslg
{'arg': '', 'rs': 'rs2.lon2', 'query': 'summary'}

Neighbor IP                     AS Number         Since                State         Prefixes Rcvd
195.66.237.22                          25061      2018-09-14 02:38:00  Established              20
195.66.237.226                         57315      2018-09-14 00:39:21  Established              20
195.66.237.23                          16303      2018-09-14 02:33:09  Established               4
195.66.237.27                          15773      2018-08-24 00:51:27  Established               2
195.66.237.3                           13122      2018-08-16 00:14:12  Established              23
195.66.237.33                          38740      2018-09-11 02:07:41  Established              11
195.66.237.38                          51782      2018-10-31 00:25:26  Established               8
195.66.237.40                          29009      2018-08-16 00:14:53  Established               4
195.66.237.41                          21345      2018-08-16 00:13:36  Established              44
195.66.237.45                          27822      2018-10-12 16:34:46  Established              27
195.66.237.47                          20712      2018-10-21 03:25:38  Established              45
195.66.237.48                          62167      2018-08-24 15:19:19  Established               2
195.66.237.5                           29452      2018-09-11 02:19:13  Established               1
195.66.237.50                          42010      2018-10-07 15:39:11  Established              17
195.66.237.55                          45014      2018-09-23 21:06:02  Established              54
195.66.237.57                          17660      2018-08-31 03:24:50  Established              14
195.66.237.58                          31708      2018-08-22 01:21:44  Established              25
195.66.237.59                          51603      2018-10-18 14:08:16  Established               5
195.66.237.60                           5564      2018-08-22 03:02:59  Established               6
195.66.237.63                           6661      2018-08-22 03:19:43  Established             193
195.66.237.67                          15839      2018-08-16 00:13:46  Established               2
195.66.237.69                          32934      2018-08-22 03:32:06  Established               8
195.66.237.71                          22363      2018-08-16 00:15:01  Established              21
195.66.237.72                          41552      2018-10-04 22:39:09  Established               8
195.66.237.77                          64271      2018-09-14 04:11:16  Established               1
195.66.237.8                           35551      2018-08-16 00:14:21  Established               1
195.66.237.83                          24594      2018-09-11 01:29:29  Established               2
195.66.237.88                          38082      2018-09-27 18:35:42  Established            1908
195.66.238.111                         34119      2018-08-16 00:13:42  Established               8
195.66.238.113                         42473      2018-09-14 03:46:18  Established               3
195.66.238.114                         34768      2018-08-16 00:14:59  Established               2
195.66.238.119                        204598      2018-08-31 00:18:02  Established               2
195.66.238.12                           2134      2018-09-14 02:05:13  Established              14
195.66.238.125                          8309      2018-09-11 02:23:19  Established              17
195.66.238.129                         59455      2018-10-20 00:34:15  Established              16
195.66.238.130                         32590      2018-09-13 20:23:34  Established               4
195.66.238.134                         48945      2018-10-16 13:27:16  Established              18
195.66.238.137                        200781      2018-09-17 07:48:25  Established               4
195.66.238.138                         33353      2018-08-16 14:58:51  Established              49
195.66.238.14                           6717      2018-08-22 03:03:00  Established               4
195.66.238.140                         32934      2018-08-16 00:13:51  Established               8
195.66.238.143                         31595      2018-08-16 00:14:06  Established               7
195.66.238.15                          50823      2018-08-31 00:39:46  Established               2
195.66.238.151                         51055      2018-09-14 03:26:38  Established              20
195.66.238.152                         35826      2018-08-31 02:00:02  Established              11
195.66.238.153                         46562      2018-08-22 03:32:33  Established               6
195.66.238.155                         44646      2018-08-16 00:14:51  Established               3
195.66.238.156                         44503      2018-09-14 02:07:08  Established               7
195.66.238.158                         48945      2018-10-16 13:31:46  Established              11
195.66.238.159                        198736      2018-09-11 01:29:32  Established               8
195.66.238.160                          9140      2018-08-16 00:14:06  Established               4
195.66.238.165                         49415      2018-08-16 01:58:14  Established               3
195.66.238.168                         47998      2018-08-16 01:50:39  Established               1
195.66.238.169                        202119      2018-08-16 00:14:05  Established               1
195.66.238.170                         62044      2018-08-16 00:13:06  Established               4
195.66.238.174                         51263      2018-10-29 18:06:30  Established               9
195.66.238.178                         57099      2018-10-11 17:26:35  Established              13
195.66.238.183                        200700      2018-09-11 02:35:06  Established               1
195.66.238.188                         25376      2018-09-14 04:10:50  Established               5
195.66.238.190                         62044      2018-08-16 00:13:06  Established               4
195.66.238.191                         51561      2018-09-14 04:10:24  Established              29
195.66.238.192                         59933      2018-08-16 00:14:35  Established               3
195.66.238.194                        200052      2018-10-20 18:00:02  Established               2
195.66.238.195                         35266      2018-09-11 02:41:17  Established              23
195.66.238.198                        198440      2018-09-11 03:25:40  Established               5
195.66.238.199                         20596      2018-08-16 00:49:59  Established               1
195.66.238.200                         51043      2018-08-16 00:14:13  Established              14
195.66.238.206                         52075      2018-08-31 00:18:17  Established              17
195.66.238.210                         61049      2018-09-14 04:54:37  Established              13
195.66.238.211                         44646      2018-08-16 00:13:09  Established               1
195.66.238.212                          7489      2018-09-14 04:10:57  Established               4
195.66.238.214                         58511      2018-09-11 03:05:34  Established              96
195.66.238.215                         41000      2018-09-11 02:53:10  Established              10
195.66.238.216                        202222      2018-10-29 20:32:15  Established               7
195.66.238.219                        204264      2018-09-11 00:44:44  Established               1
195.66.238.223                         60899      2018-09-14 04:10:22  Established               3
195.66.238.225                         56990      2018-08-22 02:13:52  Established               5
195.66.238.23                          35834      2018-09-10 17:06:34  Established               1
195.66.238.234                         57976      2018-08-16 00:13:31  Established              38
195.66.238.236                        203164      2018-08-16 00:15:01  Established               2
195.66.238.237                         25460      2018-09-11 03:58:30  Established              16
195.66.238.238                         60868      2018-09-14 03:51:59  Established               3
195.66.238.24                         199204      2018-08-16 00:13:55  Established               1
195.66.238.240                         36994      2018-10-11 12:36:42  Established             589
195.66.238.25                          14061      2018-08-23 00:09:33  Established              40
195.66.238.251                        203416      2018-09-14 04:10:24  Established               4
195.66.238.252                         48101      2018-09-14 04:11:59  Established              10
195.66.238.253                        203851      2018-08-31 02:08:22  Established               4
195.66.238.27                          51945      2018-09-11 01:04:50  Established              18
195.66.238.28                           3327      2018-09-14 14:26:41  Established             274
195.66.238.35                           5459      2018-08-16 02:20:48  Established              10
195.66.238.37                          21267      2018-10-18 23:02:32  Established              15
195.66.238.38                          24482      2018-09-11 02:01:21  Established             886
195.66.238.45                         198554      2018-08-16 00:13:11  Established               3
195.66.238.52                          28757      2018-08-29 14:13:20  Established               6
195.66.238.54                          13009      2018-09-14 04:10:50  Established              38
195.66.238.55                          47762      2018-10-20 19:29:57  Established               3
195.66.238.56                          21472      2018-09-11 03:55:48  Established              15
195.66.238.58                          61231      2018-09-27 23:08:18  Established              25
195.66.238.59                          60426      2018-10-23 10:25:00  Established               1
195.66.238.63                          25605      2018-08-16 00:13:49  Established               3
195.66.238.64                         198781      2018-08-22 01:27:04  Established              18
195.66.238.72                          47704      2018-09-11 03:32:37  Established               3
195.66.238.77                          44965      2018-08-16 01:33:31  Established               1
195.66.238.78                          34934      2018-10-10 13:24:24  Established              40
195.66.238.91                         197669      2018-09-14 02:19:41  Established               2
195.66.238.92                         196881      2018-09-14 02:45:11  Established              19
195.66.238.96                          61124      2018-09-14 04:12:03  Established              10
195.66.238.97                          39122      2018-09-27 06:02:56  Established              29
195.66.239.1                           59410      2018-08-31 02:41:20  Established               6
195.66.239.10                          42228      2018-08-31 00:19:24  Established               1
195.66.239.100                        136620      2018-09-14 04:10:51  Established              26
195.66.239.104                        207044      2018-09-28 16:46:07  Established              49
195.66.239.108                        206347      2018-09-11 00:54:52  Established               7
195.66.239.111                         30889      2018-08-31 00:18:31  Established              15
195.66.239.112                        200070      2018-09-14 04:10:50  Established               2
195.66.239.119                         15510      2018-10-02 03:00:56  Established              24
195.66.239.128                         36891      2018-10-30 08:16:43  Established               8
195.66.239.134                        205917      2018-09-11 02:47:01  Established               1
195.66.239.136                         44332      2018-09-11 03:40:26  Established               5
195.66.239.14                          62240      2018-10-06 10:18:57  Established             169
195.66.239.141                        204258      2018-10-30 21:52:35  Established               1
195.66.239.142                         31742      2018-08-31 00:18:36  Established              20
195.66.239.15                         203421      2018-09-11 03:38:36  Established               1
195.66.239.17                          30931      2018-08-16 00:16:00  Established               8
195.66.239.18                         202020      2018-09-14 02:39:31  Established               6
195.66.239.19                          32934      2018-08-22 03:32:18  Established               8
195.66.239.2                           12519      2018-09-11 03:31:29  Established               4
195.66.239.25                          28716      2018-10-28 01:06:48  Established             311
195.66.239.27                          37680      2018-09-14 03:40:31  Established              19
195.66.239.36                         203568      2018-09-11 00:58:20  Established               2
195.66.239.38                         200507      2018-09-14 04:51:33  Established             109
195.66.239.40                          20804      2018-10-30 11:54:57  Established            1104
