https://rs3.swissix.ch/cgi-bin/bgplg?req=&cmd=show+ip+bgp+summary&
{'req': '', 'cmd': 'show ip bgp summary'}

Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
2001:7f8:24::8e          3216          4       2082     0 00:57:01 Active
91.206.52.181            7713       4091       8811     0 22:05:32   2273/12000
91.206.52.61            12041       4241       8834     0 22:05:43      0/12000
91.206.52.122           60486       3986       8838     0 22:05:59      9/12000
91.206.52.158           41549       4016       8819     0 22:06:07     26/12000
91.206.52.145           61174       3989       8833     0 22:06:17      5/12000
91.206.52.73            43531       4438       8742     0 22:06:24   1462/12000
91.206.52.19            13250       4331       8842     0 22:06:31      1/12000
91.206.52.144           33965       4013       8830     0 22:06:39     69/12000
91.206.52.196           30419       4415       8297     0 22:06:41      2/12000
91.206.52.86             2906       3985       7702     0 22:06:43      5/12000
91.206.52.87            42909       3983       8940     0 22:06:46      2/12000
91.206.52.35             6776       3984       9017     0 22:06:47     17/12000
91.206.52.66            20893       3985       9196     0 22:06:56      1/12000
91.206.52.20             6772       4432       9194     0 22:06:57     35/12000
91.206.52.217           22822       4511       7410     0 22:06:57    217/12000
91.206.52.96            31042       4174       9052     0 22:06:58    399/12000
91.206.52.212          204178       4558       9269     0 22:06:59      1/12000
91.206.52.121           41549       4022       9271     0 22:07:00     26/12000
91.206.52.33            24889       4336       9200     0 22:06:51     10/12000
91.206.52.176           25375       4417       9283     0 22:07:00      6/12000
91.206.52.34             9092       3980       9286     0 22:07:01      1/12000
91.206.52.45           198738       4303       9307     0 22:07:10      4/12000
91.206.52.85             2906       3986       7783     0 22:07:11      5/12000
91.206.52.49            31424       6301       9291     0 22:07:12     37/12000
91.206.52.81            15398       3985       9301     0 22:07:04      1/12000
91.206.52.91            41913       4431       9313     0 22:07:14     24/12000
91.206.52.203           40627       4411       9322     0 22:07:21      8/12000
91.206.52.123           15517       3988       9319     0 22:07:23      5/12000
91.206.52.82            39764       4304       9327     0 22:07:23      1/12000
91.206.52.189           35054       4306       9314     0 22:07:25      3/12000
91.206.52.72            21040       4418       9326     0 22:07:27      5/12000
91.206.52.53              559       4068      11708     0 13:39:28    124/12000
91.206.52.156           15716       4360       9384     0 22:07:34      5/12000
91.206.52.157           20984       4299       9505     0 22:07:42      2/12000
91.206.52.159            6507       3970       9504     0 22:07:42      7/12000
91.206.52.174           49867       4306       9499     0 22:07:40      2/12000
91.206.52.208            3250       3959       9383     0 22:07:33      1/12000
91.206.52.116            8218       6185       7838     0 22:07:44   2086/12000
91.206.52.150           34288       4339       9605     0 22:07:44      7/12000
91.206.52.110           25563       4415       9608     0 22:07:45      4/12000
91.206.52.205           24482       4437       9530     0 22:07:53    886/12000
91.206.52.25            31736       3994       9652     0 22:07:55     23/12000
91.206.52.37             9044       4484       9493     0 22:07:55     26/12000
91.206.52.15            15623       4440       9703     0 22:07:59     54/12000
91.206.52.31            48461       3989       9711     0 22:07:59      5/12000
91.206.52.105           13237       5524       8649     0 22:08:07   1142/12000
