https://rs4.swissix.ch/cgi-bin/bgplg?req=&cmd=show+ip+bgp+summary&
{'req': '', 'cmd': 'show ip bgp summary'}

Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
91.206.52.152            8075      70901     374510     0 01w1d13h      0/12000
91.206.52.168           25291      71227     377942     0 01w1d13h    143/12000
91.206.52.5             47147      70933     378551     0 01w1d13h      3/12000
91.206.52.102           49605      75664     378013     0 01w1d13h     32/12000
91.206.52.62            42336      70916     378269     0 01w1d13h      6/12000
91.206.52.95            15517      64480     378303     0 01w1d13h      5/12000
91.206.52.126           20612      69630     378655     0 01w1d13h      4/12000
91.206.52.140           47692      74614     375837     0 01w1d13h     76/12000
91.206.52.59            12333      69648     391410     0 01w1d13h      7/12000
91.206.52.172            8220      65035     374445     0 01w1d13h    551/12000
91.206.52.104           42085      64480     378580     0 01w1d13h      1/12000
91.206.52.127           20612      69644     378319     0 01w1d13h      4/12000
91.206.52.44            16242      69657     378653     0 01w1d13h     13/12000
91.206.52.93            16265      64475      90112     0 01w1d13h      0/12000
91.206.52.99             5385      64519     376182     0 01w1d13h     29/12000
91.206.52.18             9100      74925     378610     0 01w1d13h     13/12000
91.206.52.197           51873      64480     378601     0 01w1d13h      4/12000
91.206.52.153           13101      64515     378286     0 01w1d13h     41/12000
91.206.52.175           34309      71211     377138     0 01w1d13h    179/12000
91.206.52.137            9009      64486     391145     0 01w1d13h     15/12000
91.206.52.28            29655      71552     378691     0 01w1d13h     15/12000
91.206.52.155           12387      64525     378094     0 01w1d13h     39/12000
91.206.52.113          205073      69682     378680     0 01w1d13h      4/12000
91.206.52.141           59891      73419     391451     0 01w1d13h      9/12000
91.206.52.216          202032      73655     391089     0 5d07h59m      1/12000
91.206.52.154           51262      73604     378320     0 01w1d13h      2/12000
91.206.52.57            51184      73535     378338     0 01w1d13h      9/12000
91.206.52.133           39063      64485     378694     0 01w1d13h      1/12000
91.206.52.3             13030      71511     378557     0 01w1d13h      0/12000
91.206.52.17            31424     100496     378661     0 01w1d13h     37/12000
91.206.52.2              8758      71556     378680     0 01w1d13h     54/12000
91.206.52.209           29545      73747     376314     0 01w1d13h     23/12000
91.206.52.135          198288      73671     429856     0 01w1d13h      5/12000
91.206.52.54            34554      83956     378679     0 01w1d13h      6/12000
91.206.52.38            59890      69644     376301     0 01w1d13h      5/12000
91.206.52.40            48362      69693     378687     0 01w1d13h     14/12000
91.206.52.111          200924      64167     378700     0 01w1d13h      6/12000
91.206.52.120           42760      73674     391088     0 01w1d13h      5/12000
91.206.52.179           49983     135409     443396     0 01w1d13h      4/12000
91.206.52.191           33891      70550     378247     0 01w1d13h      0/12000
91.206.52.65            51395      70444     378341     0 01w1d13h     28/12000
91.206.52.8             20634      71550     378447     0 01w1d13h     15/12000
91.206.52.36            62035      70917     378651     0 01w1d13h      1/12000
91.206.52.171            3303      71508     378402     0 01w1d13h    534/12000
91.206.52.165           48885      71550     378397     0 01w1d13h      9/12000
91.206.52.132           30786      64217     378685     0 01w1d13h      1/12000
2001:7f8:24::26         59890      70007     401029     0 01w1d13h      1/600
91.206.52.29            24951      69680     378385     0 01w1d13h     25/12000
91.206.52.94             1836      70562     378710     0 01w1d13h      0/12000
91.206.52.14             9044      71613     378389     0 01w1d13h     46/12000
91.206.52.98            59761      73641     378693     0 01w1d13h      2/12000
91.206.52.108          197964      75520     378418     0 01w1d13h      2/12000
